County,Choice_Party,Total_Votes,Year
CLAY,DEM,1699,2020
CLAY,REP,5112,2020
CLEVELAND,DEM,16955,2020
CLEVELAND,REP,33798,2020
COLUMBUS,DEM,9446,2020
COLUMBUS,REP,16832,2020
CRAVEN,DEM,21148,2020
CRAVEN,REP,31032,2020
CUMBERLAND,DEM,84469,2020
CUMBERLAND,REP,60032,2020
CURRITUCK,DEM,4195,2020
CURRITUCK,REP,11657,2020
DARE,DEM,9936,2020
DARE,REP,13938,2020
DAVIDSON,DEM,22636,2020
DAVIDSON,REP,64658,2020
DAVIE,DEM,6713,2020
DAVIE,REP,18228,2020
DUPLIN,DEM,8767,2020
DUPLIN,REP,13793,2020
