County,Year,Votes_DEM,Votes_REP,Lat,Long,Population,dem_per_capita,rep_per_capita
MARTIN,2008,6539,5957,35.8432,-77.1092,22031,0.2968090418047297,0.270391720757115
MCDOWELL,2008,6571,11534,35.6817,-82.0493,44578,0.14740454932926556,0.2587374938310377
MECKLENBURG,2008,253958,153848,35.2467,-80.8328,1115482,0.22766660510882292,0.137920647755858
MITCHELL,2008,2238,5499,36.0133,-82.1636,14903,0.15017110648862644,0.36898611017915856
MONTGOMERY,2008,4926,6155,35.3325,-79.9055,25751,0.19129354199836898,0.2390198438895577
MOORE,2008,17624,27314,35.3106,-79.4814,99727,0.17672245229476471,0.27388771345773966
NASH,2008,23099,23728,35.9673,-77.9864,94970,0.2432241760555965,0.24984732020638095
NEW HANOVER,2008,49145,50544,34.2328,-77.8847,225702,0.21774286448502894,0.22394130313422123
NORTHAMPTON,2008,6903,3671,36.4178,-77.3969,17471,0.39511189971953525,0.2101196268101425
ONSLOW,2008,19499,30278,34.7321,-77.4321,204576,0.09531421085562333,0.14800367589551072
ORANGE,2008,53806,20266,36.0611,-79.1207,148696,0.36185236993597675,0.13629149405498467
PAMLICO,2008,2838,3823,35.1435,-76.7407,12276,0.23118279569892472,0.31142065819485176
PASQUOTANK,2008,10272,7778,36.2955,-76.284,40568,0.2532044961546046,0.1917274699270361
PENDER,2008,9907,13618,34.5248,-77.9051,60203,0.16455990565254222,0.22620135209208844
PERQUIMANS,2008,2772,3678,36.2059,-76.4411,13005,0.21314878892733563,0.2828143021914648
PERSON,2008,8446,10030,36.39,-78.9718,39097,0.21602680512571298,0.25654142261554597
PITT,2008,40501,33927,35.5933,-77.3745,170243,0.2379011178139483,0.19928572687276422
POLK,2008,4396,5990,35.2793,-82.1697,19328,0.22744205298013245,0.3099130794701987
RANDOLPH,2008,16414,40998,35.7103,-79.806,144171,0.11385091315174342,0.2843706431945398
RICHMOND,2008,9713,9424,35.0059,-79.7479,42946,0.22616774554091185,0.21943836445769105
ROBESON,2008,23058,17433,34.6402,-79.1039,116530,0.19787179267141508,0.14960096112589033
ROCKINGHAM,2008,17255,23899,36.396,-79.775,91096,0.18941556160533943,0.26234960920347766
ROWAN,2008,23391,37451,35.6394,-80.5247,146875,0.15925787234042554,0.2549855319148936
